dataset_row,prompt_id,source,generator,protocol
1,family_001,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
2,family_002,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
3,family_003,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
4,family_004,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
5,family_005,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
6,family_006,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
7,family_007,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
8,family_008,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
9,family_009,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
10,family_010,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
11,family_011,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
12,family_012,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
13,family_013,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
14,family_014,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
15,family_015,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
16,family_016,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
17,family_017,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
18,family_018,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
19,family_019,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
20,family_020,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
21,family_021,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
22,family_022,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
23,family_023,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
24,family_024,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
25,family_025,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
26,family_026,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
27,family_027,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
28,family_028,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
29,family_029,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
30,family_030,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
31,family_031,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
32,family_032,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
33,family_033,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
34,family_034,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
35,family_035,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
36,family_036,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
37,family_037,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
38,family_038,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
39,family_039,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
40,family_040,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
41,family_041,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
42,family_042,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
43,family_043,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
44,family_044,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
45,family_045,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
46,family_046,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
47,family_047,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
48,family_048,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
49,family_049,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
50,family_050,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
51,family_051,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
52,family_052,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
53,family_053,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
54,family_054,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
55,family_055,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
56,family_056,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
57,family_057,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
58,family_058,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
59,family_059,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
60,family_060,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
61,family_061,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
62,family_062,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
63,family_063,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
64,family_064,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
65,family_065,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
66,family_066,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
67,family_067,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
68,family_068,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
69,family_069,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
70,family_070,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
71,family_071,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
72,family_072,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
73,family_073,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
74,family_074,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
75,family_075,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
76,family_076,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
77,family_077,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
78,family_078,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
79,family_079,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
80,family_080,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
81,family_081,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
82,family_082,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
83,family_083,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
84,family_084,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
85,family_085,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
86,family_086,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
87,family_087,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
88,family_088,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
89,family_089,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
90,family_090,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
91,family_091,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
92,family_092,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
93,family_093,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
94,family_094,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
95,family_095,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
96,family_096,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
97,family_097,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
98,family_098,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
99,family_099,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
100,family_100,protocol_1,ChatGPT Sol 5.6 Pro,generation_protocol_1.md
101,A01,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
102,A02,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
103,A03,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
104,A04,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
105,A05,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
106,A06,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
107,A07,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
108,A08,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
109,A09,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
110,A10,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
111,A11,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
112,A12,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
113,A13,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
114,A14,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
115,A15,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
116,A16,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
117,A17,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
118,A18,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
119,A19,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
120,A20,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
121,B01,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
122,B02,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
123,B03,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
124,B04,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
125,B05,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
126,B06,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
127,B07,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
128,B08,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
129,B09,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
130,B10,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
131,B11,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
132,B12,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
133,B13,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
134,B14,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
135,B15,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
136,B16,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
137,B17,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
138,B18,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
139,B19,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
140,B20,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
141,C01,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
142,C02,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
143,C03,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
144,C04,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
145,C05,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
146,C06,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
147,C07,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
148,C08,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
149,C09,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
150,C10,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
151,C11,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
152,C12,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
153,C13,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
154,C14,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
155,C15,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
156,C16,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
157,C17,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
158,C18,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
159,C19,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
160,C20,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
161,D01,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
162,D02,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
163,D03,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
164,D04,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
165,D05,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
166,D06,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
167,D07,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
168,D08,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
169,D09,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
170,D10,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
171,D11,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
172,D12,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
173,D13,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
174,D14,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
175,D15,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
176,D16,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
177,D17,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
178,D18,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
179,D19,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
180,D20,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
181,E01,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
182,E02,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
183,E03,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
184,E04,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
185,E05,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
186,E06,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
187,E07,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
188,E08,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
189,E09,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
190,E10,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
191,E11,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
192,E12,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
193,E13,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
194,E14,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
195,E15,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
196,E16,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
197,E17,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
198,E18,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
199,E19,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
200,E20,protocol_2,Claude Opus 5 Max,generation_protocol_2.md
201,P01,protocol_3,Specific model not recorded,generation_protocol_3.md
202,P02,protocol_3,Specific model not recorded,generation_protocol_3.md
203,P03,protocol_3,Specific model not recorded,generation_protocol_3.md
204,P04,protocol_3,Specific model not recorded,generation_protocol_3.md
205,P05,protocol_3,Specific model not recorded,generation_protocol_3.md
206,P06,protocol_3,Specific model not recorded,generation_protocol_3.md
207,P07,protocol_3,Specific model not recorded,generation_protocol_3.md
208,P08,protocol_3,Specific model not recorded,generation_protocol_3.md
209,P09,protocol_3,Specific model not recorded,generation_protocol_3.md
210,P10,protocol_3,Specific model not recorded,generation_protocol_3.md
211,P11,protocol_3,Specific model not recorded,generation_protocol_3.md
212,P12,protocol_3,Specific model not recorded,generation_protocol_3.md
213,P13,protocol_3,Specific model not recorded,generation_protocol_3.md
214,P14,protocol_3,Specific model not recorded,generation_protocol_3.md
215,P15,protocol_3,Specific model not recorded,generation_protocol_3.md
216,P16,protocol_3,Specific model not recorded,generation_protocol_3.md
217,P17,protocol_3,Specific model not recorded,generation_protocol_3.md
218,P18,protocol_3,Specific model not recorded,generation_protocol_3.md
219,P19,protocol_3,Specific model not recorded,generation_protocol_3.md
220,P20,protocol_3,Specific model not recorded,generation_protocol_3.md
221,Q01,protocol_3,Specific model not recorded,generation_protocol_3.md
222,Q02,protocol_3,Specific model not recorded,generation_protocol_3.md
223,Q03,protocol_3,Specific model not recorded,generation_protocol_3.md
224,Q04,protocol_3,Specific model not recorded,generation_protocol_3.md
225,Q05,protocol_3,Specific model not recorded,generation_protocol_3.md
226,Q06,protocol_3,Specific model not recorded,generation_protocol_3.md
227,Q07,protocol_3,Specific model not recorded,generation_protocol_3.md
228,Q08,protocol_3,Specific model not recorded,generation_protocol_3.md
229,Q09,protocol_3,Specific model not recorded,generation_protocol_3.md
230,Q10,protocol_3,Specific model not recorded,generation_protocol_3.md
231,Q11,protocol_3,Specific model not recorded,generation_protocol_3.md
232,Q12,protocol_3,Specific model not recorded,generation_protocol_3.md
233,Q13,protocol_3,Specific model not recorded,generation_protocol_3.md
234,Q14,protocol_3,Specific model not recorded,generation_protocol_3.md
235,Q15,protocol_3,Specific model not recorded,generation_protocol_3.md
236,Q16,protocol_3,Specific model not recorded,generation_protocol_3.md
237,Q17,protocol_3,Specific model not recorded,generation_protocol_3.md
238,Q18,protocol_3,Specific model not recorded,generation_protocol_3.md
239,Q19,protocol_3,Specific model not recorded,generation_protocol_3.md
240,Q20,protocol_3,Specific model not recorded,generation_protocol_3.md
241,R01,protocol_3,Specific model not recorded,generation_protocol_3.md
242,R02,protocol_3,Specific model not recorded,generation_protocol_3.md
243,R03,protocol_3,Specific model not recorded,generation_protocol_3.md
244,R04,protocol_3,Specific model not recorded,generation_protocol_3.md
245,R05,protocol_3,Specific model not recorded,generation_protocol_3.md
246,R06,protocol_3,Specific model not recorded,generation_protocol_3.md
247,R07,protocol_3,Specific model not recorded,generation_protocol_3.md
248,R08,protocol_3,Specific model not recorded,generation_protocol_3.md
249,R09,protocol_3,Specific model not recorded,generation_protocol_3.md
