panel,behavior,alpha,avg_score
fig2_after_clipping,coordinate-other-ais,-2.0,-0.7487
fig2_after_clipping,coordinate-other-ais,-1.9,-0.8138
fig2_after_clipping,coordinate-other-ais,-1.8,-0.8326
fig2_after_clipping,coordinate-other-ais,-1.7,-0.86
fig2_after_clipping,coordinate-other-ais,-1.6,-0.9044
fig2_after_clipping,coordinate-other-ais,-1.5,-0.9387
fig2_after_clipping,coordinate-other-ais,-1.4,-0.9681
fig2_after_clipping,coordinate-other-ais,-1.3,-0.9494
fig2_after_clipping,coordinate-other-ais,-1.2,-0.9438
fig2_after_clipping,coordinate-other-ais,-1.1,-0.8238
fig2_after_clipping,coordinate-other-ais,-1.0,-0.7512
fig2_after_clipping,coordinate-other-ais,-0.9,-0.5901
fig2_after_clipping,coordinate-other-ais,-0.8,-0.4188
fig2_after_clipping,coordinate-other-ais,-0.7,-0.2495
fig2_after_clipping,coordinate-other-ais,-0.6,-0.0413
fig2_after_clipping,coordinate-other-ais,-0.5,0.1693
fig2_after_clipping,coordinate-other-ais,-0.4,0.4056
fig2_after_clipping,coordinate-other-ais,-0.3,0.6006
fig2_after_clipping,coordinate-other-ais,-0.2,0.8406
fig2_after_clipping,coordinate-other-ais,-0.1,1.0774
fig2_after_clipping,coordinate-other-ais,-0.0,1.2999
fig2_after_clipping,coordinate-other-ais,0.1,1.5118
fig2_after_clipping,coordinate-other-ais,0.2,1.7625
fig2_after_clipping,coordinate-other-ais,0.3,1.9613
fig2_after_clipping,coordinate-other-ais,0.4,2.2174
fig2_after_clipping,coordinate-other-ais,0.5,2.3925
fig2_after_clipping,coordinate-other-ais,0.6,2.5949
fig2_after_clipping,coordinate-other-ais,0.7,2.7974
fig2_after_clipping,coordinate-other-ais,0.8,2.9387
fig2_after_clipping,coordinate-other-ais,0.9,3.0975
fig2_after_clipping,coordinate-other-ais,1.0,3.2074
fig2_after_clipping,coordinate-other-ais,1.1,3.2962
fig2_after_clipping,coordinate-other-ais,1.2,3.3455
fig2_after_clipping,coordinate-other-ais,1.3,3.3913
fig2_after_clipping,coordinate-other-ais,1.4,3.4306
fig2_after_clipping,coordinate-other-ais,1.5,3.3687
fig2_after_clipping,coordinate-other-ais,1.6,3.3512
fig2_after_clipping,coordinate-other-ais,1.7,3.2256
fig2_after_clipping,coordinate-other-ais,1.8,3.1262
fig2_after_clipping,coordinate-other-ais,1.9,3.0212
fig2_after_clipping,coordinate-other-ais,2.0,2.9275
fig2_after_clipping,corrigible-neutral-HHH,-2.0,-0.3125
fig2_after_clipping,corrigible-neutral-HHH,-1.9,-0.3275
fig2_after_clipping,corrigible-neutral-HHH,-1.8,-0.3076
