behavior,gamma,A,B,loss,endpoint_term,slope,f_A,f_B,global_min,global_max,padded_lo,padded_hi,mapped_alpha_at_minus1,mapped_alpha_at_plus1
coordinate-other-ais,0.0,-2.0,0.6,0.0,0.0,1.676683,-0.813965,3.546875,-0.813965,3.546875,-3.268293,1.868293,-1.984146,0.584146
corrigible-neutral-HHH,0.0,-1.8,0.3,0.0,0.0,4.401042,-0.484375,8.757812,-0.484375,8.757812,-2.82439,1.32439,-1.787195,0.287195
myopic-reward,0.0,-2.0,0.7,0.0,0.0,0.847801,-0.703125,1.585938,-0.703125,1.585938,-3.317073,2.017073,-1.983537,0.683537
survival-instinct,0.0,-0.8,1.0,0.0,0.0,2.740885,-2.619141,2.314453,-2.619141,2.314453,-1.678049,1.878049,-0.789024,0.989024
power-seeking-inclination,0.0,-0.6,0.5,0.0,0.0,5.642756,-0.637695,5.570312,-0.637695,5.570312,-1.136585,1.036585,-0.593293,0.493293
wealth-seeking-inclination,0.0,-0.7,0.9,0.0,0.0,2.509766,-2.148438,1.867188,-2.148438,1.867188,-1.480488,1.680488,-0.690244,0.890244
coordinate-other-ais,0.05,-0.6,0.6,-0.119189,0.011475,3.613281,-0.791016,3.546875,-0.813965,3.546875,-1.185366,1.185366,-0.592683,0.592683
corrigible-neutral-HHH,0.05,-1.7,0.3,-0.174683,0.005981,4.613281,-0.472412,8.757812,-0.484375,8.757812,-2.67561,1.27561,-1.687805,0.287805
myopic-reward,0.05,-1.9,0.7,0.006224,0.000244,0.880409,-0.702637,1.585938,-0.703125,1.585938,-3.168293,1.968293,-1.884146,0.684146
survival-instinct,0.05,-0.8,1.0,-0.087044,0.0,2.740885,-2.619141,2.314453,-2.619141,2.314453,-1.678049,1.878049,-0.789024,0.989024
power-seeking-inclination,0.05,-0.6,0.5,-0.232138,0.0,5.642756,-0.637695,5.570312,-0.637695,5.570312,-1.136585,1.036585,-0.593293,0.493293
wealth-seeking-inclination,0.05,-0.6,0.8,-0.081348,0.01123,2.851562,-2.140625,1.852539,-2.148438,1.867188,-1.282927,1.482927,-0.591463,0.791463
coordinate-other-ais,0.1,-0.6,0.5,-0.260951,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.1,-0.9,0.3,-0.475195,0.166992,7.421875,-0.150269,8.757812,-0.484375,8.757812,-1.485366,0.885366,-0.892683,0.292683
myopic-reward,0.1,-1.9,0.7,0.012203,0.000244,0.880409,-0.702637,1.585938,-0.703125,1.585938,-3.168293,1.968293,-1.884146,0.684146
survival-instinct,0.1,-0.8,0.9,-0.180273,0.008789,2.890625,-2.619141,2.296875,-2.619141,2.314453,-1.629268,1.729268,-0.789634,0.889634
power-seeking-inclination,0.1,-0.6,0.5,-0.464276,0.0,5.642756,-0.637695,5.570312,-0.637695,5.570312,-1.136585,1.036585,-0.593293,0.493293
wealth-seeking-inclination,0.1,-0.6,0.8,-0.173926,0.01123,2.851562,-2.140625,1.852539,-2.148438,1.867188,-1.282927,1.482927,-0.591463,0.791463
coordinate-other-ais,0.15,-0.6,0.5,-0.406441,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.15,-0.8,0.3,-0.801693,0.242554,7.961648,0.000625,8.757812,-0.484375,8.757812,-1.336585,0.836585,-0.793293,0.293293
myopic-reward,0.15,-1.7,0.7,0.014868,0.00708,0.948079,-0.688965,1.585938,-0.703125,1.585938,-2.870732,1.870732,-1.685366,0.685366
survival-instinct,0.15,-0.8,0.9,-0.274805,0.008789,2.890625,-2.619141,2.296875,-2.619141,2.314453,-1.629268,1.729268,-0.789634,0.889634
power-seeking-inclination,0.15,-0.6,0.5,-0.696413,0.0,5.642756,-0.637695,5.570312,-0.637695,5.570312,-1.136585,1.036585,-0.593293,0.493293
wealth-seeking-inclination,0.15,-0.6,0.8,-0.266504,0.01123,2.851562,-2.140625,1.852539,-2.148438,1.867188,-1.282927,1.482927,-0.591463,0.791463
coordinate-other-ais,0.2,-0.6,0.5,-0.551931,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.2,-0.8,0.3,-1.149776,0.242554,7.961648,0.000625,8.757812,-0.484375,8.757812,-1.336585,0.836585,-0.793293,0.293293
myopic-reward,0.2,-1.7,0.7,0.017464,0.00708,0.948079,-0.688965,1.585938,-0.703125,1.585938,-2.870732,1.870732,-1.685366,0.685366
survival-instinct,0.2,-0.7,0.9,-0.376172,0.032227,3.041992,-2.572266,2.296875,-2.619141,2.314453,-1.480488,1.680488,-0.690244,0.890244
power-seeking-inclination,0.2,-0.6,0.5,-0.928551,0.0,5.642756,-0.637695,5.570312,-0.637695,5.570312,-1.136585,1.036585,-0.593293,0.493293
wealth-seeking-inclination,0.2,-0.6,0.8,-0.359082,0.01123,2.851562,-2.140625,1.852539,-2.148438,1.867188,-1.282927,1.482927,-0.591463,0.791463
coordinate-other-ais,0.25,-0.6,0.5,-0.697421,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.25,-0.7,0.2,-1.544352,0.497314,9.166667,0.275879,8.523438,-0.484375,8.757812,-1.139024,0.639024,-0.694512,0.194512
myopic-reward,0.25,-1.2,0.7,0.013441,0.05127,1.151316,-0.600586,1.585938,-0.703125,1.585938,-2.126829,1.626829,-1.188415,0.688415
survival-instinct,0.25,-0.7,0.9,-0.478271,0.032227,3.041992,-2.572266,2.296875,-2.619141,2.314453,-1.480488,1.680488,-0.690244,0.890244
power-seeking-inclination,0.25,-0.6,0.4,-1.178711,0.082031,6.042969,-0.637695,5.40625,-0.637695,5.570312,-1.087805,0.887805,-0.593902,0.393902
wealth-seeking-inclination,0.25,-0.6,0.8,-0.45166,0.01123,2.851562,-2.140625,1.852539,-2.148438,1.867188,-1.282927,1.482927,-0.591463,0.791463
coordinate-other-ais,0.3,-0.6,0.5,-0.842911,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.3,-0.7,0.2,-1.952686,0.497314,9.166667,0.275879,8.523438,-0.484375,8.757812,-1.139024,0.639024,-0.694512,0.194512
