estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-2.0,-2.0,-0.68603515625,0.47,alpha_first
orthogonal-parameterized,-2.0,-1.5,-0.68994140625,0.47,alpha_first
orthogonal-parameterized,-2.0,-1.0,-0.79052734375,0.465,alpha_first
orthogonal-parameterized,-2.0,-0.5,-0.724609375,0.43,alpha_first
orthogonal-parameterized,-2.0,0.0,-0.47119140625,0.34,alpha_first
orthogonal-parameterized,-2.0,0.5,-0.271240234375,0.355,alpha_first
orthogonal-parameterized,-2.0,1.0,-0.2412109375,0.355,alpha_first
orthogonal-parameterized,-2.0,1.5,-0.2412109375,0.38,alpha_first
orthogonal-parameterized,-2.0,2.0,-0.019378662109375,0.45,alpha_first
parameterized,-2.0,-2.0,-0.27880859375,0.36,alpha_first
parameterized,-2.0,-1.5,-0.24560546875,0.375,alpha_first
parameterized,-2.0,-1.0,-0.2337646484375,0.39,alpha_first
parameterized,-2.0,-0.5,-0.0124969482421875,0.435,alpha_first
parameterized,-2.0,0.0,0.449951171875,0.52,alpha_first
parameterized,-2.0,0.5,0.9814453125,0.59,alpha_first
parameterized,-2.0,1.0,1.306640625,0.65,alpha_first
parameterized,-2.0,1.5,1.423828125,0.67,alpha_first
parameterized,-2.0,2.0,1.388671875,0.67,alpha_first
orthogonal-parameterized,-1.75,-2.0,-0.70751953125,0.47,alpha_first
orthogonal-parameterized,-1.75,-1.5,-0.7861328125,0.465,alpha_first
orthogonal-parameterized,-1.75,-1.0,-0.853515625,0.46,alpha_first
orthogonal-parameterized,-1.75,-0.5,-0.59765625,0.395,alpha_first
orthogonal-parameterized,-1.75,0.0,-0.35302734375,0.31,alpha_first
orthogonal-parameterized,-1.75,0.5,-0.237548828125,0.38,alpha_first
orthogonal-parameterized,-1.75,1.0,-0.2431640625,0.36,alpha_first
orthogonal-parameterized,-1.75,1.5,-0.1331787109375,0.42,alpha_first
orthogonal-parameterized,-1.75,2.0,0.2425537109375,0.475,alpha_first
parameterized,-1.75,-2.0,-0.26806640625,0.38,alpha_first
parameterized,-1.75,-1.5,-0.26318359375,0.36,alpha_first
parameterized,-1.75,-1.0,-0.253662109375,0.385,alpha_first
parameterized,-1.75,-0.5,0.041259765625,0.45,alpha_first
parameterized,-1.75,0.0,0.5625,0.53,alpha_first
parameterized,-1.75,0.5,1.125,0.585,alpha_first
parameterized,-1.75,1.0,1.4853515625,0.665,alpha_first
parameterized,-1.75,1.5,1.583984375,0.68,alpha_first
parameterized,-1.75,2.0,1.48046875,0.675,alpha_first
orthogonal-parameterized,-1.5,-2.0,-0.78271484375,0.47,alpha_first
orthogonal-parameterized,-1.5,-1.5,-0.90576171875,0.465,alpha_first
orthogonal-parameterized,-1.5,-1.0,-0.73828125,0.43,alpha_first
orthogonal-parameterized,-1.5,-0.5,-0.369384765625,0.295,alpha_first
orthogonal-parameterized,-1.5,0.0,-0.1943359375,0.395,alpha_first
orthogonal-parameterized,-1.5,0.5,-0.258056640625,0.34,alpha_first
orthogonal-parameterized,-1.5,1.0,-0.1856689453125,0.395,alpha_first
orthogonal-parameterized,-1.5,1.5,0.186279296875,0.465,alpha_first
orthogonal-parameterized,-1.5,2.0,0.81982421875,0.56,alpha_first
parameterized,-1.5,-2.0,-0.217529296875,0.375,alpha_first
parameterized,-1.5,-1.5,-0.224365234375,0.36,alpha_first
parameterized,-1.5,-1.0,-0.1943359375,0.41,alpha_first
parameterized,-1.5,-0.5,0.12127685546875,0.455,alpha_first
parameterized,-1.5,0.0,0.748046875,0.54,alpha_first
parameterized,-1.5,0.5,1.349609375,0.61,alpha_first
parameterized,-1.5,1.0,1.6923828125,0.685,alpha_first
parameterized,-1.5,1.5,1.7412109375,0.675,alpha_first
parameterized,-1.5,2.0,1.630859375,0.69,alpha_first
orthogonal-parameterized,-1.25,-2.0,-0.900390625,0.465,alpha_first
orthogonal-parameterized,-1.25,-1.5,-0.78173828125,0.455,alpha_first
orthogonal-parameterized,-1.25,-1.0,-0.414306640625,0.36,alpha_first
orthogonal-parameterized,-1.25,-0.5,-0.199951171875,0.34,alpha_first
orthogonal-parameterized,-1.25,0.0,-0.24755859375,0.35,alpha_first
orthogonal-parameterized,-1.25,0.5,-0.219970703125,0.38,alpha_first
orthogonal-parameterized,-1.25,1.0,0.08123779296875,0.465,alpha_first
orthogonal-parameterized,-1.25,1.5,0.79833984375,0.53,alpha_first
orthogonal-parameterized,-1.25,2.0,1.48828125,0.63,alpha_first
