estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-2.0,-2.0,-0.4013671875,0.495,alpha_first
orthogonal-parameterized,-2.0,-1.5,-0.498779296875,0.495,alpha_first
orthogonal-parameterized,-2.0,-1.0,-0.521484375,0.47,alpha_first
orthogonal-parameterized,-2.0,-0.5,-0.48876953125,0.4,alpha_first
orthogonal-parameterized,-2.0,0.0,-0.4326171875,0.34,alpha_first
orthogonal-parameterized,-2.0,0.5,-0.28759765625,0.36,alpha_first
orthogonal-parameterized,-2.0,1.0,-0.15869140625,0.39,alpha_first
orthogonal-parameterized,-2.0,1.5,-0.02874755859375,0.455,alpha_first
orthogonal-parameterized,-2.0,2.0,0.1636962890625,0.5,alpha_first
parameterized,-2.0,-2.0,-0.12127685546875,0.405,alpha_first
parameterized,-2.0,-1.5,0.01000213623046875,0.45,alpha_first
parameterized,-2.0,-1.0,0.2763671875,0.515,alpha_first
parameterized,-2.0,-0.5,0.64111328125,0.555,alpha_first
parameterized,-2.0,0.0,1.224609375,0.63,alpha_first
parameterized,-2.0,0.5,1.7724609375,0.675,alpha_first
parameterized,-2.0,1.0,2.13671875,0.725,alpha_first
parameterized,-2.0,1.5,2.275390625,0.735,alpha_first
parameterized,-2.0,2.0,2.232421875,0.745,alpha_first
orthogonal-parameterized,-1.75,-2.0,-0.452392578125,0.495,alpha_first
orthogonal-parameterized,-1.75,-1.5,-0.49365234375,0.48,alpha_first
orthogonal-parameterized,-1.75,-1.0,-0.5498046875,0.425,alpha_first
orthogonal-parameterized,-1.75,-0.5,-0.49755859375,0.355,alpha_first
orthogonal-parameterized,-1.75,0.0,-0.364990234375,0.365,alpha_first
orthogonal-parameterized,-1.75,0.5,-0.2349853515625,0.375,alpha_first
orthogonal-parameterized,-1.75,1.0,-0.11126708984375,0.45,alpha_first
orthogonal-parameterized,-1.75,1.5,0.052490234375,0.505,alpha_first
orthogonal-parameterized,-1.75,2.0,0.376220703125,0.535,alpha_first
parameterized,-1.75,-2.0,-0.12744140625,0.405,alpha_first
parameterized,-1.75,-1.5,0.0187530517578125,0.465,alpha_first
parameterized,-1.75,-1.0,0.277587890625,0.52,alpha_first
parameterized,-1.75,-0.5,0.71240234375,0.555,alpha_first
parameterized,-1.75,0.0,1.3662109375,0.635,alpha_first
parameterized,-1.75,0.5,1.9384765625,0.695,alpha_first
parameterized,-1.75,1.0,2.341796875,0.745,alpha_first
parameterized,-1.75,1.5,2.466796875,0.76,alpha_first
parameterized,-1.75,2.0,2.349609375,0.755,alpha_first
orthogonal-parameterized,-1.5,-2.0,-0.51611328125,0.49,alpha_first
orthogonal-parameterized,-1.5,-1.5,-0.513671875,0.445,alpha_first
orthogonal-parameterized,-1.5,-1.0,-0.5,0.38,alpha_first
orthogonal-parameterized,-1.5,-0.5,-0.405029296875,0.34,alpha_first
orthogonal-parameterized,-1.5,0.0,-0.271240234375,0.385,alpha_first
orthogonal-parameterized,-1.5,0.5,-0.1650390625,0.45,alpha_first
orthogonal-parameterized,-1.5,1.0,-0.01125335693359375,0.48,alpha_first
orthogonal-parameterized,-1.5,1.5,0.331298828125,0.52,alpha_first
orthogonal-parameterized,-1.5,2.0,1.0458984375,0.575,alpha_first
parameterized,-1.5,-2.0,-0.155029296875,0.425,alpha_first
parameterized,-1.5,-1.5,-0.005001068115234375,0.475,alpha_first
parameterized,-1.5,-1.0,0.2724609375,0.505,alpha_first
parameterized,-1.5,-0.5,0.8349609375,0.57,alpha_first
parameterized,-1.5,0.0,1.5537109375,0.635,alpha_first
parameterized,-1.5,0.5,2.234375,0.71,alpha_first
parameterized,-1.5,1.0,2.626953125,0.755,alpha_first
parameterized,-1.5,1.5,2.740234375,0.76,alpha_first
parameterized,-1.5,2.0,2.57421875,0.765,alpha_first
orthogonal-parameterized,-1.25,-2.0,-0.5087890625,0.46,alpha_first
orthogonal-parameterized,-1.25,-1.5,-0.52734375,0.39,alpha_first
orthogonal-parameterized,-1.25,-1.0,-0.44873046875,0.355,alpha_first
orthogonal-parameterized,-1.25,-0.5,-0.3125,0.38,alpha_first
orthogonal-parameterized,-1.25,0.0,-0.2237548828125,0.415,alpha_first
orthogonal-parameterized,-1.25,0.5,-0.08624267578125,0.485,alpha_first
orthogonal-parameterized,-1.25,1.0,0.239990234375,0.51,alpha_first
orthogonal-parameterized,-1.25,1.5,0.99267578125,0.575,alpha_first
orthogonal-parameterized,-1.25,2.0,1.8408203125,0.65,alpha_first
parameterized,-1.25,-2.0,-0.168701171875,0.41,alpha_first
parameterized,-1.25,-1.5,-0.024993896484375,0.485,alpha_first
parameterized,-1.25,-1.0,0.280029296875,0.52,alpha_first
